nohup: ввод игнорируется
WARN: Unresolved or ambiguous specs during Gem::Specification.reset:
      stringio (>= 0)
      Available/installed versions of this gem:
      - 3.1.5
      - 3.0.1
WARN: Clearing out unresolved specs. Try 'gem cleanup <gem>'
Please report a bug if this causes problems.
Starting dynamic metrics generation (Ctrl+C to stop)...
[2025-03-25 02:42:53] Metrics successfully pushed to gateway!
[2025-03-25 02:43:03] Metrics successfully pushed to gateway!
[2025-03-25 02:43:13] Metrics successfully pushed to gateway!
[2025-03-25 02:43:23] Metrics successfully pushed to gateway!
[2025-03-25 02:43:33] Metrics successfully pushed to gateway!
[2025-03-25 02:43:43] Metrics successfully pushed to gateway!
[2025-03-25 02:43:53] Metrics successfully pushed to gateway!
[2025-03-25 02:44:03] Metrics successfully pushed to gateway!
[2025-03-25 02:44:13] Metrics successfully pushed to gateway!
[2025-03-25 02:44:23] Metrics successfully pushed to gateway!
[2025-03-25 02:44:33] Metrics successfully pushed to gateway!
[2025-03-25 02:44:43] Metrics successfully pushed to gateway!
[2025-03-25 02:44:53] Metrics successfully pushed to gateway!
[2025-03-25 02:45:03] Metrics successfully pushed to gateway!
[2025-03-25 02:45:13] Metrics successfully pushed to gateway!
[2025-03-25 02:45:23] Metrics successfully pushed to gateway!
[2025-03-25 02:45:33] Metrics successfully pushed to gateway!
[2025-03-25 02:45:43] Metrics successfully pushed to gateway!
[2025-03-25 02:45:53] Metrics successfully pushed to gateway!
[2025-03-25 02:46:03] Metrics successfully pushed to gateway!
[2025-03-25 02:46:13] Metrics successfully pushed to gateway!
[2025-03-25 02:46:23] Metrics successfully pushed to gateway!
[2025-03-25 02:46:33] Metrics successfully pushed to gateway!
[2025-03-25 02:46:43] Metrics successfully pushed to gateway!
[2025-03-25 02:46:53] Metrics successfully pushed to gateway!
[2025-03-25 02:47:03] Metrics successfully pushed to gateway!
[2025-03-25 02:47:13] Metrics successfully pushed to gateway!
[2025-03-25 02:47:23] Metrics successfully pushed to gateway!
[2025-03-25 02:47:33] Metrics successfully pushed to gateway!
[2025-03-25 02:47:43] Metrics successfully pushed to gateway!
[2025-03-25 02:47:53] Metrics successfully pushed to gateway!
[2025-03-25 02:48:03] Metrics successfully pushed to gateway!
[2025-03-25 02:48:13] Metrics successfully pushed to gateway!
[2025-03-25 02:48:23] Metrics successfully pushed to gateway!
[2025-03-25 02:48:33] Metrics successfully pushed to gateway!
[2025-03-25 02:48:43] Metrics successfully pushed to gateway!
[2025-03-25 02:48:53] Metrics successfully pushed to gateway!
[2025-03-25 02:49:03] Metrics successfully pushed to gateway!
[2025-03-25 02:49:13] Metrics successfully pushed to gateway!
[2025-03-25 02:49:23] Metrics successfully pushed to gateway!
[2025-03-25 02:49:33] Metrics successfully pushed to gateway!
[2025-03-25 02:49:43] Metrics successfully pushed to gateway!
[2025-03-25 02:49:53] Metrics successfully pushed to gateway!
[2025-03-25 02:50:03] Metrics successfully pushed to gateway!
